,,,"Saskatchewan [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Ethnic origin population","      East Indian",,   18695,,   10090,,    8600,, 1374710,,  694990,,  679720,
"Ethnic origin population","      Goan",,      45,,      25,,      15,,    6070,,    2915,,    3155,
"Ethnic origin population","      Gujarati",,     195,,     105,,      95,,    8350,,    4305,,    4050,
"Ethnic origin population","      Kashmiri",,     115,,      75,,      40,,    3115,,    1605,,    1510,
"Ethnic origin population","      Nepali",,     565,,     320,,     245,,   17140,,    8715,,    8420,
"Ethnic origin population","      Pakistani",,    6255,,    3220,,    3035,,  215555,,  110420,,  105140,
"Ethnic origin population","      Punjabi",,    1425,,     790,,     635,,  118400,,   61155,,   57240,
"Ethnic origin population","      Sinhalese",,      65,,      30,,      30,,    7285,,    3605,,    3685,
"Ethnic origin population","      Sri Lankan",,     515,,     290,,     225,,  152595,,   75010,,   77585,
"Ethnic origin population","      Tamil",,     120,,      65,,      55,,   48670,,   24845,,   23825,
"Ethnic origin population","      South Asian origins; n.i.e.",125,    1075,,     545,,     530,,   76400,,   38815,,   37585,
"Ethnic origin population","    East and Southeast Asian origins",,   60010,,   28955,,   31060,, 3163360,, 1467205,, 1696155,
"Ethnic origin population","      Burmese",,     465,,     210,,     260,,    9335,,    4535,,    4795,
"Ethnic origin population","      Cambodian (Khmer)",,     305,,     165,,     145,,   38490,,   18515,,   19980,
"Ethnic origin population","      Chinese",,   19075,,    9300,,    9780,, 1769195,,  836150,,  933045,
"Ethnic origin population","      Filipino",,   33630,,   16200,,   17425,,  837130,,  369105,,  468025,
"Ethnic origin population","      Hmong",,       0,,       0,,       0,,     805,,     420,,     390,
"Ethnic origin population","      Indonesian",,     220,,     115,,     105,,   21390,,    9950,,   11440,
"Ethnic origin population","      Japanese",,    1220,,     530,,     690,,  121485,,   53415,,   68070,
"Ethnic origin population","      Karen",,     585,,     290,,     290,,    4510,,    2275,,    2240,
"Ethnic origin population","      Korean",,    2025,,     870,,    1155,,  198210,,   93680,,  104525,
"Ethnic origin population","      Laotian",,     705,,     335,,     380,,   24580,,   12190,,   12390,
"Ethnic origin population","      Malaysian",,     160,,      75,,      80,,   16920,,    7735,,    9185,
"Ethnic origin population","      Mongolian",,     205,,     105,,     100,,    7480,,    3560,,    3915,
"Ethnic origin population","      Singaporean",,      10,,       0,,      10,,    2850,,    1325,,    1520,
"Ethnic origin population","      Taiwanese",,     265,,     115,,     155,,   36510,,   16570,,   19945,
"Ethnic origin population","      Thai",,     420,,     170,,     250,,   19010,,    7330,,   11680,
"Ethnic origin population","      Tibetan",,      50,,      35,,      25,,    8040,,    4055,,    3985,
"Ethnic origin population","      Vietnamese",,    3690,,    1885,,    1800,,  240615,,  115935,,  124680,
"Ethnic origin population","      East and Southeast Asian origins; n.i.e.",126,      95,,      40,,      55,,    6500,,    3150,,    3355,
"Ethnic origin population","    Other Asian origins",,     735,,     340,,     390,,   22745,,   11280,,   11460,
"Ethnic origin population","      Other Asian origins; n.i.e.",127,     735,,     345,,     385,,   22740,,   11280,,   11460,
"Ethnic origin population","  Oceania origins",,    1430,,     760,,     665,,   85470,,   43030,,   42440,
"Ethnic origin population","    Australian",,     890,,     505,,     385,,   42315,,   21710,,   20605,
"Ethnic origin population","    New Zealander",,     265,,     140,,     125,,   15395,,    8065,,    7330,
"Ethnic origin population","    Pacific Islands origins",,     310,,     140,,     170,,   29485,,   14240,,   15250,
"Ethnic origin population","      Fijian",,     110,,      60,,      50,,   19375,,    9280,,   10090,
"Ethnic origin population","      Hawaiian",,      25,,      10,,      10,,    3295,,    1500,,    1795,
"Ethnic origin population","      Maori",,      45,,       0,,      35,,    2500,,    1310,,    1195,
"Ethnic origin population","      Polynesian; n.o.s.",128,      25,,      15,,      10,,    1530,,     725,,     805,
"Ethnic origin population","      Samoan",,      55,,      25,,      30,,    1100,,     625,,     475,
"Ethnic origin population","      Pacific Islands origins; n.i.e.",129,      60,,      25,,      35,,    2335,,    1145,,    1185,
"Household characteristics","Total - Private households by tenure - 25% sample data",130,  432620,,,...,,...,14072075,,,...,,...
"Household characteristics","  Owner",,  311470,,,...,,..., 9541320,,,...,,...
"Household characteristics","  Renter",,  109685,,,...,,..., 4474530,,,...,,...
"Household characteristics","  Band housing",,   11470,,,...,,...,   56230,,,...,,...
"Household characteristics","Total - Occupied private dwellings by condominium status - 25% sample data",131,  432620,,,...,,...,14072075,,,...,,...
"Household characteristics","  Condominium",,   41960,,,...,,..., 1874840,,,...,,...
"Household characteristics","  Not condominium",,  390660,,,...,,...,12197240,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of bedrooms - 25% sample data",132,  432625,,,...,,...,14072080,,,...,,...
"Household characteristics","  No bedrooms",,    1290,,,...,,...,   93345,,,...,,...
"Household characteristics","  1 bedroom",,   40600,,,...,,..., 1925015,,,...,,...
"Household characteristics","  2 bedrooms",,   97340,,,...,,..., 3547090,,,...,,...
"Household characteristics","  3 bedrooms",,  148060,,,...,,..., 4836485,,,...,,...
"Household characteristics","  4 or more bedrooms",,  145330,,,...,,..., 3670145,,,...,,...
"Household characteristics","Total - Occupied private dwellings by number of rooms - 25% sample data",133,  432620,,,...,,...,14072075,,,...,,...
"Household characteristics","  1 to 4 rooms",,   92375,,,...,,..., 4068915,,,...,,...
"Household characteristics","  5 rooms",,   67645,,,...,,..., 2177045,,,...,,...
"Household characteristics","  6 rooms",,   64215,,,...,,..., 1981585,,,...,,...
"Household characteristics","  7 rooms",,   57945,,,...,,..., 1790180,,,...,,...
"Household characteristics","  8 or more rooms",,  150440,,,...,,..., 4054355,,,...,,...
"Household characteristics","Average number of rooms per dwelling",,  6.7,,,...,,...,  6.2,,,...,,...
"Household characteristics","Total - Private households by number of persons per room - 25% sample data",134,  432625,,,...,,...,14072080,,,...,,...
"Household characteristics","  One person or fewer per room",,  422915,,,...,,...,13802060,,,...,,...
"Household characteristics","  More than 1 person per room",,    9705,,,...,,...,  270020,,,...,,...
"Household characteristics","Total - Private households by housing suitability - 25% sample data",135,  432620,,,...,,...,14072075,,,...,,...
"Household characteristics","  Suitable",,  412220,,,...,,...,13376345,,,...,,...
"Household characteristics","  Not suitable",,   20410,,,...,,...,  695730,,,...,,...
"Household characteristics","Total - Occupied private dwellings by period of construction - 25% sample data",136,  432620,,,...,,...,14072080,,,...,,...
"Household characteristics","  1960 or before",,  101805,,,...,,..., 3126380,,,...,,...
"Household characteristics","  1961 to 1980",,  150440,,,...,,..., 4185510,,,...,,...
"Household characteristics","  1981 to 1990",,   62270,,,...,,..., 1977640,,,...,,...
"Household characteristics","  1991 to 2000",,   33495,,,...,,..., 1746390,,,...,,...
"Household characteristics","  2001 to 2005",,   17905,,,...,,...,  976390,,,...,,...
"Household characteristics","  2006 to 2010",,   28610,,,...,,..., 1089750,,,...,,...
"Household characteristics","  2011 to 2016",137,   38095,,,...,,...,  970015,,,...,,...
"Household characteristics","Total - Occupied private dwellings by dwelling condition - 25% sample data",138,  432625,,,...,,...,14072080,,,...,,...
"Household characteristics","  Only regular maintenance or minor repairs needed",,  395105,,,...,,...,13151600,,,...,,...
"Household characteristics","  Major repairs needed",,   37520,,,...,,...,  920480,,,...,,...
"Household characteristics","Total - Private households by number of household maintainers - 25% sample data",139,  432620,,,...,,...,14072080,,,...,,...
"Household characteristics","  1 household maintainer",,  261245,,,...,,..., 8324865,,,...,,...
"Household characteristics","  2 household maintainers",,  162550,,,...,,..., 5404800,,,...,,...
"Household characteristics","  3 or more household maintainers",,    8825,,,...,,...,  342415,,,...,,...
"Household characteristics","Total - Private households by age of primary household maintainers - 25% sample data",140,  432625,,,...,,...,14072080,,,...,,...
"Household characteristics","  15 to 24 years",,   18235,,,...,,...,  437230,,,...,,...
"Household characteristics","  25 to 34 years",,   72225,,,...,,..., 1991685,,,...,,...
"Household characteristics","  35 to 44 years",,   73675,,,...,,..., 2414920,,,...,,...
"Household characteristics","  45 to 54 years",,   77920,,,...,,..., 2862870,,,...,,...
"Household characteristics","  55 to 64 years",,   84110,,,...,,..., 2859315,,,...,,...
"Household characteristics","  65 to 74 years",,   56280,,,...,,..., 2034220,,,...,,...
"Household characteristics","  75 to 84 years",,   34845,,,...,,..., 1084700,,,...,,...
"Household characteristics","  85 years and over",,   15340,,,...,,...,  387135,,,...,,...
"Household characteristics","Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",141,  396790,,,...,,...,13798305,,,...,,...
"Household characteristics","  Spending less than 30% of income on shelter costs",,  316505,,,...,,...,10472355,,,...,,...
"Household characteristics","  Spending 30% or more of income on shelter costs",,   80295,,,...,,..., 3325950,,,...,,...
"Household characteristics","    30% to less than 100%",,   70690,,,...,,..., 2861615,,,...,,...
"Household characteristics","Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data",,  289805,,,...,,..., 9368330,,,...,,...
"Household characteristics","  % of owner households with a mortgage",142, 57.9,,,...,,..., 60.7,,,...,,...
"Household characteristics","  % of owner households spending 30% or more of its income on shelter costs",141, 12.1,,,...,,..., 16.6,,,...,,...
"Household characteristics","  Median monthly shelter costs for owned dwellings ($)",143,    1001,,,...,,...,    1130,,,...,,...
"Household characteristics","  Average monthly shelter costs for owned dwellings ($)",143,    1178,,,...,,...,    1313,,,...,,...
"Household characteristics","  Median value of dwellings ($)",144,  299606,,,...,,...,  341556,,,...,,...
"Household characteristics","  Average value of dwellings ($)",144,  318917,,,...,,...,  443058,,,...,,...
"Household characteristics","Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data",,  107535,,,...,,..., 4452850,,,...,,...
"Household characteristics","  % of tenant households in subsidized housing",145, 21.4,,,...,,..., 13.0,,,...,,...
"Household characteristics","  % of tenant households spending 30% or more of its income on shelter costs",141, 42.1,,,...,,..., 40.0,,,...,,...
"Household characteristics","  Median monthly shelter costs for rented dwellings ($)",143,     965,,,...,,...,     910,,,...,,...
"Household characteristics","  Average monthly shelter costs for rented dwellings ($)",143,    1021,,,...,,...,    1002,,,...,,...
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 15 years and over in private households - 25% sample data",146,  857295,,  424265,,  433035,,28643015,,13990435,,14652580,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,  177210,,   96680,,   80530,, 5239575,, 2667995,, 2571585,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,  261210,,  133730,,  127480,, 7576400,, 3686630,, 3889770,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,  418880,,  193855,,  225025,,15827040,, 7635805,, 8191230,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,   89440,,   64100,,   25340,, 2800260,, 1906610,,  893650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,   38045,,   21495,,   16550,, 1549880,,  880365,,  669515,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,   51395,,   42605,,    8790,, 1250385,, 1026250,,  224140,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,  146770,,   51240,,   95530,, 5553825,, 2326940,, 3226890,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,   28195,,   10790,,   17405,,  813335,,  331940,,  481395,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,  154480,,   67730,,   86745,, 6659615,, 3070315,, 3589300,
" Highest certificate; diploma or degree","      Bachelor's degree",,  112760,,   47490,,   65270,, 4443835,, 1967905,, 2475935,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,    7635,,    3400,,    4235,,  462295,,  203725,,  258570,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,    4830,,    2580,,    2245,,  190925,,  102530,,   88395,
" Highest certificate; diploma or degree","      Master's degree",,   24375,,   11095,,   13275,, 1331045,,  651510,,  679535,
" Highest certificate; diploma or degree","      Earned doctorate",150,    4880,,    3155,,    1725,,  231510,,  144640,,   86870,
" Highest certificate; diploma or degree","Total - Highest certificate; diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",146,  566245,,  282510,,  283735,,18931380,, 9268555,, 9662830,
" Highest certificate; diploma or degree","  No certificate; diploma or degree",,   69200,,   42050,,   27150,, 2169790,, 1200110,,  969685,
" Highest certificate; diploma or degree","  Secondary (high) school diploma or equivalency certificate",147,  168035,,   88530,,   79505,, 4494585,, 2247020,, 2247565,
" Highest certificate; diploma or degree","  Postsecondary certificate; diploma or degree",,  329005,,  151930,,  177075,,12267005,, 5821425,, 6445580,
" Highest certificate; diploma or degree","    Apprenticeship or trades certificate or diploma",,   66955,,   48885,,   18075,, 2042430,, 1377775,,  664650,
" Highest certificate; diploma or degree","      Trades certificate or diploma other than Certificate of Apprenticeship or Certificate of Qualification",148,   27765,,   16095,,   11670,, 1145035,,  639785,,  505250,
" Highest certificate; diploma or degree","      Certificate of Apprenticeship or Certificate of Qualification",149,   39190,,   32785,,    6400,,  897390,,  737990,,  159405,
" Highest certificate; diploma or degree","    College; CEGEP or other non-university certificate or diploma",,  115085,,   41085,,   74000,, 4241985,, 1786065,, 2455920,
" Highest certificate; diploma or degree","    University certificate or diploma below bachelor level",,   19380,,    7775,,   11605,,  580885,,  240040,,  340850,
" Highest certificate; diploma or degree","    University certificate; diploma or degree at bachelor level or above",,  127585,,   54190,,   73395,, 5401705,, 2417555,, 2984155,
" Highest certificate; diploma or degree","      Bachelor's degree",,   92905,,   38180,,   54730,, 3590080,, 1562160,, 2027925,
" Highest certificate; diploma or degree","      University certificate or diploma above bachelor level",,    5890,,    2525,,    3365,,  362455,,  151205,,  211250,
" Highest certificate; diploma or degree","      Degree in medicine; dentistry; veterinary medicine or optometry",,    4065,,    1995,,    2070,,  153290,,   74440,,   78855,
" Highest certificate; diploma or degree","      Master's degree",,   20975,,    9170,,   11805,, 1120190,,  527335,,  592850,
" Highest certificate; diploma or degree","      Earned doctorate",150,    3750,,    2320,,    1435,,  175685,,  102415,,   73275,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 15 years and over in private households - 25% sample data",151,  857295,,  424265,,  433030,,28643015,,13990430,,14652585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,  438420,,  230405,,  208005,,12815980,, 6354625,, 6461350,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,   40995,,   10635,,   30355,, 1060095,,  251290,,  808800,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,   40990,,   10635,,   30350,, 1060095,,  251290,,  808805,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,    8870,,    4150,,    4720,,  596230,,  268050,,  328180,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,    2015,,    1455,,     560,,   99020,,   72865,,   26150,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,    6850,,    2690,,    4160,,  497210,,  195185,,  302025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,   15400,,    6905,,    8495,,  850840,,  330490,,  520345,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,    1030,,     260,,     770,,   98000,,   22100,,   75900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,    3180,,     990,,    2190,,  178590,,   52785,,  125810,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,    3105,,    1185,,    1920,,  275525,,  104135,,  171390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,      35,,       0,,      30,,    4160,,    1640,,    2520,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,    1180,,     695,,     480,,   51930,,   30185,,   21750,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,    4700,,    2645,,    2050,,   77490,,   46285,,   31200,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,    1760,,    1000,,     760,,  111465,,   59965,,   51500,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,     425,,     120,,     300,,   53680,,   13400,,   40290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,   30500,,   10015,,   20485,, 1761900,,  586455,, 1175445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,     750,,     185,,     565,,   24685,,    5660,,   19025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,    2060,,     905,,    1160,,  182275,,   68030,,  114245,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,    6805,,     425,,    6380,,  324660,,   26065,,  298595,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,    5410,,    1930,,    3480,,  289600,,  102660,,  186945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,     465,,     155,,     310,,   35445,,    8150,,   27295,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,    5555,,    1480,,    4075,,  281470,,   71230,,  210230,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,    9455,,    4940,,    4510,,  623775,,  304660,,  319110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,   85800,,   25105,,   60695,, 3360045,, 1272475,, 2087565,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,     240,,      50,,     190,,    6190,,    1850,,    4340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,    8250,,    1710,,    6545,,  237835,,   48815,,  189015,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,   77310,,   23350,,   53960,, 3116025,, 1221805,, 1894215,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,   11455,,    5905,,    5550,,  614280,,  315665,,  298615,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,    5675,,    2515,,    3160,,  249955,,  105560,,  144400,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,    1395,,     725,,     670,,  125600,,   61685,,   63915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,     105,,      25,,      80,,   28155,,   12625,,   15530,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,    3240,,    2265,,     970,,  179305,,  122815,,   56485,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    41. Science technologies/technicians",,    1045,,     375,,     670,,   31270,,   12980,,   18290,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Mathematics; computer and information sciences",,   11695,,    7040,,    4655,,  651480,,  420370,,  231110,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    11. Computer and information sciences and support services",,    9390,,    6135,,    3250,,  514685,,  356435,,  158250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    25. Library science",,     990,,      85,,     905,,   40820,,    6495,,   34320,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    27. Mathematics and statistics",,    1145,,     700,,     445,,   86655,,   50930,,   35725,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30D Interdisciplinary mathematics; computer and information sciences",156,     170,,     110,,      55,,    9325,,    6510,,    2815,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Architecture; engineering; and related technologies",,   93145,,   86660,,    6485,, 3327405,, 3022700,,  304700,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    04. Architecture and related services",,    1520,,     960,,     560,,  114315,,   72880,,   41435,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    14. Engineering",,   14090,,   11790,,    2300,,  752465,,  615880,,  136585,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    15. Engineering technologies and engineering-related fields",,   13790,,   12290,,    1505,,  620065,,  551855,,   68205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.12 Historic preservation and conservation",,       0,,       0,,       0,,     410,,      85,,     325,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    46. Construction trades",,   24650,,   23840,,     810,,  702155,,  682710,,   19445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    47. Mechanic and repair technologies/technicians",,   26325,,   25535,,     790,,  731135,,  709430,,   21705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    48. Precision production",,   12765,,   12240,,     525,,  406855,,  389850,,   17005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Agriculture; natural resources and conservation",,   16655,,   12040,,    4615,,  339050,,  219040,,  120010,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    01. Agriculture; agriculture operations and related sciences",,   13585,,    9885,,    3705,,  205930,,  127925,,   78005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    03. Natural resources and conservation",,    3075,,    2160,,     910,,  133120,,   91115,,   42005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Health and related fields",,   74750,,   12215,,   62530,, 2266720,,  441180,, 1825545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    31. Parks; recreation; leisure and fitness studies",,    4340,,    2030,,    2315,,  164295,,   81260,,   83040,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    51. Health professions and related programs",,   69090,,    9460,,   59630,, 2047680,,  329010,, 1718670,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    60. Dental; medical and veterinary residency programs",,    1315,,     725,,     590,,   54740,,   30910,,   23830,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Personal; protective and transportation services",,   29585,,   13165,,   16420,,  995825,,  507200,,  488630,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    12. Personal and culinary services",,   18450,,    3845,,   14605,,  565555,,  151530,,  414025,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    28. Military science; leadership and operational art",,      10,,      10,,      10,,    3505,,    3080,,     420,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    29. Military technologies and applied sciences",,     175,,     160,,      20,,    7900,,    7230,,     670,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    43. Security and protective services",,    5070,,    3705,,    1360,,  206745,,  150540,,   56205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    49. Transportation and materials moving",,    5880,,    5450,,     430,,  212125,,  194810,,   17315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Other",,      40,,      20,,      20,,    3170,,     885,,    2280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.99 Multidisciplinary/interdisciplinary studies; other",,      40,,      20,,      20,,    3170,,     890,,    2280,
"Major field of study - Classification of Instructional Programs (CIP) 2016","Total - Major field of study - Classification of Instructional Programs (CIP) 2016 for the population aged 25 to 64 years in private households - 25% sample data",151,  566245,,  282510,,  283730,,18931385,, 9268555,, 9662825,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  No postsecondary certificate; diploma or degree",152,  237235,,  130580,,  106660,, 6664380,, 3447130,, 3217250,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Education",,   28195,,    6885,,   21310,,  727515,,  160315,,  567205,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    13. Education",,   28195,,    6885,,   21310,,  727515,,  160315,,  567200,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Visual and performing arts; and communications technologies",,    7175,,    3350,,    3825,,  467905,,  208365,,  259545,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    10. Communications technologies/technicians and support services",,    1550,,    1100,,     450,,   74530,,   53995,,   20535,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    50. Visual and performing arts",,    5630,,    2250,,    3380,,  393375,,  154370,,  239005,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Humanities",,   11760,,    5110,,    6650,,  614815,,  232425,,  382390,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    16. Aboriginal and foreign languages; literatures and linguistics",,     825,,     205,,     620,,   76540,,   16200,,   60340,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    23. English language and literature/letters",,    2470,,     745,,    1735,,  133800,,   38310,,   95485,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    24. Liberal arts and sciences; general studies and humanities",,    2515,,     910,,    1605,,  191005,,   71770,,  119235,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30A Interdisciplinary humanities",153,      30,,      10,,      25,,    3140,,    1250,,    1895,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    38. Philosophy and religious studies",,     920,,     540,,     380,,   37870,,   21930,,   15940,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    39. Theology and religious vocations",,    3345,,    1905,,    1435,,   52295,,   31200,,   21090,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    54. History",,    1365,,     725,,     640,,   82565,,   43475,,   39085,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    55. French language and literature/letters",,     285,,      75,,     205,,   37600,,    8285,,   29315,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Social and behavioural sciences and law",,   25830,,    8205,,   17625,, 1417625,,  453100,,  964525,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    05. Area; ethnic; cultural; gender; and group studies",,     670,,     165,,     505,,   20300,,    4595,,   15705,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    09. Communication; journalism and related programs",,    1870,,     800,,    1065,,  152080,,   56125,,   95955,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    19. Family and consumer sciences/human sciences",,    5680,,     350,,    5330,,  259845,,   19160,,  240685,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    22. Legal professions and studies",,    4735,,    1550,,    3185,,  241170,,   76720,,  164445,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30B Interdisciplinary social and behavioural sciences",154,     370,,     120,,     250,,   27310,,    6390,,   20920,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    42. Psychology",,    4335,,    1055,,    3280,,  218470,,   51570,,  166900,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    45. Social sciences",,    8175,,    4160,,    4010,,  498450,,  238540,,  259915,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Business; management and public administration",,   69300,,   20470,,   48835,, 2696770,, 1000895,, 1695875,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.16 Accounting and computer science",,     195,,      35,,     165,,    4955,,    1480,,    3475,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    44. Public administration and social service professions",,    6795,,    1230,,    5570,,  192190,,   36890,,  155305,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    52. Business; management; marketing and related support services",,   62310,,   19205,,   43105,, 2499625,,  962530,, 1537095,
"Major field of study - Classification of Instructional Programs (CIP) 2016","  Physical and life sciences and technologies",,    8985,,    4575,,    4405,,  449870,,  222120,,  227755,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    26. Biological and biomedical sciences",,    4490,,    1995,,    2495,,  195830,,   79945,,  115880,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30.01 Biological and physical sciences",,    1085,,     530,,     550,,   89205,,   42265,,   46945,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    30C Other interdisciplinary physical and life sciences",155,      95,,      25,,      70,,    9280,,    3850,,    5430,
"Major field of study - Classification of Instructional Programs (CIP) 2016","    40. Physical sciences",,    2545,,    1700,,     845,,  132935,,   87025,,   45905,
